iter	Passed	Remaining
790	16463	4350
791	16480	4328
792	16497	4306
793	16515	4284
794	16545	4266
795	16563	4244
796	16579	4222
797	16597	4201
798	16615	4179
799	16631	4157
800	16649	4136
801	16666	4114
802	16682	4092
803	16702	4071
804	16750	4057
805	16803	4044
806	16850	4029
807	16901	4016
808	16942	3999
809	16981	3983
810	17001	3962
811	17022	3941
812	17046	3920
813	17065	3899
814	17088	3878
815	17108	3857
816	17130	3837
817	17151	3815
818	17171	3794
819	17194	3774
820	17221	3754
821	17242	3733
822	17262	3712
823	17283	3691
824	17304	3670
825	17325	3649
826	17345	3628
827	17365	3607
828	17386	3586
829	17415	3566
830	17435	3545
831	17457	3525
832	17477	3503
833	17497	3482
834	17517	3461
835	17537	3440
836	17558	3419
837	17578	3398
838	17598	3377
839	17627	3357
840	17645	3336
841	17662	3314
842	17679	3292
843	17697	3271
844	17717	3250
845	17739	3229
846	17758	3207
847	17779	3186
848	17798	3165
849	17819	3144
850	17850	3125
851	17871	3104
852	17889	3083
853	17908	3061
854	17927	3040
855	17946	3019
856	17969	2998
857	17990	2977
858	18009	2956
859	18031	2935
860	18059	2915
861	18080	2894
862	18101	2873
863	18121	2852
864	18140	2831
865	18159	2809
866	18182	2789
867	18203	2768
868	18221	2746
869	18248	2726
870	18265	2705
871	18285	2684
872	18304	2662
873	18326	2642
874	18344	2620
875	18361	2599
876	18380	2577
877	18399	2556
878	18418	2535
879	18436	2514
880	18462	2493
881	18480	2472
882	18497	2450
883	18514	2429
884	18532	2408
885	18549	2386
886	18566	2365
887	18584	2343
888	18601	2322
889	18618	2301
890	18634	2279
891	18663	2259
892	18686	2239
893	18704	2217
894	18725	2196
895	18776	2179
896	18830	2162
897	18880	2144
898	18920	2125
899	19025	2113
900	19084	2096
901	19127	2078
902	19149	2057
903	19167	2035
904	19186	2014
905	19205	1992
906	19223	1971
907	19242	1949
908	19265	1928
909	19290	1907
910	19322	1887
911	19340	1866
912	19357	1844
913	19375	1823
914	19392	1801
915	19409	1779
916	19427	1758
917	19445	1736
918	19462	1715
919	19504	1696
920	19527	1675
921	19546	1653
922	19564	1632
923	19583	1610
924	19600	1589
925	19617	1567
926	19634	1546
927	19656	1525
928	19675	1503
929	19694	1482
930	19730	1462
931	19750	1441
932	19767	1419
933	19786	1398
934	19805	1376
935	19823	1355
936	19843	1334
937	19861	1312
938	19879	1291
939	19898	1270
940	19925	1249
941	19952	1228
942	19975	1207
943	19993	1186
944	20010	1164
945	20028	1143
946	20045	1121
947	20062	1100
948	20081	1079
949	20099	1057
950	20118	1036
951	20136	1015
952	20163	994
953	20189	973
954	20207	952
955	20224	930
956	20241	909
957	20260	888
958	20280	867
959	20299	845
960	20317	824
961	20336	803
962	20356	782
963	20394	761
964	20413	740
965	20434	719
966	20457	698
967	20476	676
968	20497	655
969	20517	634
970	20537	613
971	20555	592
972	20580	571
973	20602	549
974	20633	529
975	20652	507
976	20680	486
977	20698	465
978	20716	444
979	20734	423
980	20751	401
981	20768	380
982	20786	359
983	20822	338
984	20841	317
985	20860	296
986	20878	274
987	20900	253
988	20923	232
989	20942	211
990	20962	190
991	20981	169
992	21000	148
993	21023	126
994	21044	105
995	21062	84
996	21079	63
997	21096	42
998	21114	21
999	21131	0
